Nome,Tamanho,Melhor custo conhecido,Greed Cost,Greed Tour,GRASP Cost,GRASP Time,GRASP Tour,GRASP Iters,GRASP No_Upt
burma14,14,,4048.0,"[1, 8, 11, 9, 10, 2, 14, 3, 4, 12, 6, 7, 13, 5]",3490.0,191.76145482063293,"[8, 1, 11, 9, 10, 2, 14, 3, 4, 12, 6, 5, 7, 13]",2505,4
ulysses16,16,6859.0,9988.0,"[1, 8, 16, 13, 14, 12, 7, 6, 15, 5, 10, 9, 4, 2, 3, 11]",6972.0,301.93552017211914,"[16, 1, 8, 4, 2, 3, 13, 14, 12, 7, 6, 15, 5, 11, 9, 10]",2505,4
gr17,17,,2187.0,"[1, 13, 4, 7, 8, 6, 17, 14, 15, 3, 11, 5, 10, 2, 9, 12, 16]",2085.0,373.97240591049194,"[4, 13, 7, 8, 6, 17, 14, 15, 3, 11, 10, 2, 5, 9, 12, 16, 1]",2512,11
gr21,21,,3333.0,"[1, 12, 4, 11, 20, 10, 18, 21, 15, 2, 14, 13, 17, 19, 7, 8, 6, 16, 5, 9, 3]",2986.0,771.8978860378265,"[19, 11, 1, 4, 12, 7, 8, 6, 16, 5, 9, 3, 2, 15, 21, 20, 10, 18, 13, 14, 17]",2505,4
ulysses22,22,7013.0,10586.0,"[1, 8, 22, 17, 4, 18, 16, 13, 14, 12, 7, 6, 15, 5, 20, 21, 19, 10, 9, 3, 2, 11]",7681.0,920.7539834976196,"[17, 4, 18, 22, 1, 8, 16, 21, 20, 19, 10, 12, 13, 14, 7, 6, 15, 5, 11, 9, 3, 2]",2513,12
gr24,24,1276.0,1553.0,"[1, 16, 6, 7, 8, 21, 5, 24, 12, 4, 23, 9, 13, 14, 10, 17, 22, 18, 19, 2, 20, 15, 3, 11]",1430.0,1249.4873206615448,"[20, 2, 15, 19, 22, 17, 10, 5, 21, 8, 7, 6, 24, 12, 4, 1, 16, 11, 3, 18, 14, 23, 9, 13]",2519,18
fri26,26,937.0,1112.0,"[1, 15, 14, 10, 11, 13, 12, 9, 7, 8, 16, 19, 20, 18, 17, 21, 22, 26, 23, 24, 25, 3, 2, 4, 5, 6]",937.0,1642.163524389267,"[9, 10, 14, 15, 13, 12, 11, 16, 19, 20, 18, 17, 21, 22, 26, 23, 24, 25, 1, 2, 3, 4, 6, 5, 7, 8]",2502,1
bayg29,29,1610.0,2005.0,"[1, 28, 6, 12, 9, 5, 21, 2, 20, 10, 4, 15, 19, 25, 7, 23, 27, 24, 8, 16, 13, 18, 14, 22, 17, 11, 29, 26, 3]",1742.0,2431.1714594364166,"[16, 24, 8, 27, 23, 7, 25, 19, 4, 15, 18, 14, 17, 22, 11, 10, 20, 2, 21, 5, 9, 26, 3, 29, 6, 12, 28, 1, 13]",2514,13
bays29,29,2020.0,2258.0,"[1, 28, 6, 12, 9, 5, 26, 29, 3, 2, 21, 20, 10, 4, 15, 18, 14, 22, 17, 11, 19, 16, 27, 24, 8, 23, 25, 7, 13]",2037.0,2428.4533421993256,"[23, 27, 8, 24, 1, 28, 6, 12, 9, 5, 26, 29, 3, 2, 21, 20, 10, 4, 15, 18, 14, 17, 22, 11, 19, 13, 16, 25, 7]",2523,22
dantzig42,42,,956.0,"[1, 41, 42, 2, 40, 39, 38, 37, 35, 34, 31, 30, 32, 33, 29, 28, 27, 26, 25, 24, 10, 9, 8, 7, 6, 5, 4, 3, 36, 21, 22, 23, 17, 16, 18, 19, 20, 13, 14, 15, 12, 11]",836.0,7201.272680044174,"[23, 22, 21, 20, 19, 18, 17, 16, 14, 15, 13, 12, 11, 10, 25, 24, 27, 26, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 5, 4, 3, 8, 9, 7, 6, 36, 41, 1, 42, 2]",1943,5
swiss42,42,,1630.0,"[1, 2, 7, 5, 4, 3, 28, 29, 30, 31, 33, 35, 21, 34, 32, 18, 38, 16, 15, 17, 20, 14, 6, 27, 19, 13, 12, 26, 11, 9, 10, 24, 42, 22, 40, 23, 39, 25, 41, 8, 37, 36]",1399.0,7201.8118019104,"[35, 21, 34, 33, 1, 2, 7, 5, 4, 28, 3, 29, 30, 31, 39, 23, 40, 22, 41, 25, 10, 24, 42, 26, 11, 9, 13, 12, 19, 27, 6, 20, 14, 15, 17, 16, 38, 8, 18, 32, 37, 36]",1944,12
att48,48,10628.0,12861.0,"[1, 9, 38, 31, 44, 18, 7, 28, 36, 30, 6, 37, 19, 27, 43, 17, 33, 46, 15, 12, 11, 23, 14, 25, 13, 21, 47, 20, 40, 3, 22, 16, 41, 34, 29, 5, 48, 39, 32, 24, 10, 42, 26, 4, 35, 45, 2, 8]",11864.0,7202.391932487488,"[35, 45, 10, 24, 42, 5, 48, 39, 32, 21, 47, 11, 23, 14, 25, 13, 12, 15, 33, 46, 44, 18, 7, 36, 28, 30, 6, 37, 19, 27, 17, 43, 20, 40, 9, 1, 8, 38, 31, 22, 16, 3, 34, 41, 29, 2, 26, 4]",1178,12
gr48,48,5046.0,6098.0,"[1, 29, 7, 28, 46, 18, 34, 23, 25, 3, 19, 4, 30, 45, 2, 35, 20, 38, 43, 47, 37, 40, 39, 42, 24, 10, 12, 31, 33, 8, 22, 6, 36, 11, 16, 13, 48, 26, 15, 5, 21, 32, 27, 17, 9, 14, 44, 41]",5774.0,7200.043400764465,"[2, 35, 45, 43, 25, 3, 23, 34, 18, 46, 28, 7, 29, 13, 16, 48, 11, 36, 6, 22, 8, 33, 31, 10, 12, 5, 21, 32, 27, 17, 9, 14, 26, 15, 24, 37, 40, 39, 42, 20, 38, 30, 4, 19, 41, 44, 1, 47]",1165,10
hk48,48,,13181.0,"[1, 19, 37, 27, 44, 39, 45, 46, 4, 11, 16, 2, 15, 21, 43, 48, 24, 35, 17, 31, 20, 12, 22, 13, 28, 32, 25, 3, 5, 29, 26, 41, 18, 14, 38, 7, 47, 8, 6, 34, 36, 40, 10, 9, 23, 30, 33, 42]",12137.0,7200.476497888565,"[5, 3, 25, 32, 28, 13, 22, 12, 18, 14, 38, 7, 47, 8, 6, 34, 36, 40, 10, 9, 23, 30, 33, 21, 43, 15, 48, 24, 35, 17, 31, 20, 11, 16, 1, 19, 37, 27, 44, 39, 45, 46, 4, 42, 2, 26, 29, 41]",1173,0
eil51,51,426.0,511.0,"[1, 32, 11, 38, 5, 49, 9, 50, 16, 2, 29, 21, 34, 30, 10, 39, 33, 45, 15, 44, 37, 17, 4, 18, 47, 12, 46, 51, 27, 6, 48, 8, 26, 31, 28, 3, 20, 35, 36, 22, 7, 23, 24, 14, 25, 13, 41, 19, 42, 40, 43]",488.0,7200.23744392395,"[22, 1, 32, 11, 38, 5, 49, 9, 50, 34, 30, 10, 39, 33, 45, 15, 44, 37, 17, 4, 18, 47, 12, 46, 51, 27, 6, 48, 8, 26, 31, 28, 3, 35, 36, 20, 29, 21, 16, 2, 23, 7, 43, 24, 14, 25, 13, 41, 19, 40, 42]",933,4
